segment,households,coupon_households,avg_total_sales,avg_coupon_dependency_ratio,avg_deal_dependency_ratio,avg_coupon_discount_abs,avg_pre_90d_sales,avg_post_30d_sales,avg_post_60d_sales,avg_post_90d_sales,post_30d_repeat_households,post_60d_repeat_households,post_90d_repeat_households,full_price_post_90d_households,deal_only_after_coupon_households,avg_post_90d_incremental_vs_pre_90d,total_post_90d_incremental_vs_pre_90d,avg_subsidy_efficiency,coupon_user_rate,post_30d_repeat_rate_among_coupon_users,post_60d_repeat_rate_among_coupon_users,post_90d_repeat_rate_among_coupon_users,full_price_post_90d_rate_among_coupon_users,deal_only_after_coupon_rate,coupon_user_share,Insufficient Post Window,Keep Deal,No Deal Needed,Reduce Deal,Stop Subsidy,Test Smaller Deal,Winback Test,segment_coupon_strategy
Loyal Customers,325,91,4076.772092,0.015079,0.503575,27.355138,210.452062,72.521231,148.965415,227.585938,91,91,91,91,0,17.133877,5568.51,0.365122,0.28,1.0,1.0,1.0,1.0,0.0,0.209677,0,53,234,0,4,34,0,Continue targeted deals
Potential Loyalists,302,35,2225.114139,0.012713,0.496371,11.628079,60.056722,18.821821,39.928311,61.662219,34,35,35,35,0,1.605497,484.86,0.063647,0.115894,0.971429,1.0,1.0,1.0,0.0,0.080645,0,15,267,0,1,19,0,Continue targeted deals
Hibernating,633,6,808.452196,0.009211,0.490697,3.68654,2.43733,1.044566,2.116777,2.953476,5,6,6,6,0,0.516145,326.72,-0.043522,0.009479,0.833333,1.0,1.0,1.0,0.0,0.013825,0,3,0,0,2,1,627,Run controlled winback test
New or Recent,28,0,574.782143,0.007847,0.499617,2.053571,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,28,0,0,0,0,No coupon readout yet
Big Spenders,23,10,6917.15,0.017117,0.466999,48.270435,483.658696,133.89087,314.550435,477.658261,9,10,10,10,0,-6.000435,-138.01,-0.627194,0.434783,0.9,1.0,1.0,1.0,0.0,0.023041,0,4,13,0,1,5,0,Continue targeted deals
Needs Attention,448,21,1667.159085,0.011323,0.487805,7.536362,17.171763,4.156094,11.196183,16.681429,19,21,21,21,0,-0.490335,-219.67,-0.035952,0.046875,0.904762,1.0,1.0,1.0,0.0,0.048387,0,12,427,0,4,5,0,Continue targeted deals
At Risk High Value,229,51,4108.249607,0.014152,0.509116,22.628122,164.755022,47.002227,106.281921,148.893144,51,51,51,51,0,-15.861878,-3632.37,-1.609275,0.222707,1.0,1.0,1.0,1.0,0.0,0.117512,0,22,0,0,7,22,178,Run controlled winback test
Champions,512,220,7199.048164,0.017147,0.524933,50.245742,507.136172,170.083086,333.459277,497.862344,219,220,220,220,0,-9.273828,-4748.2,-3.203119,0.429688,0.995455,1.0,1.0,1.0,0.0,0.506912,2,104,292,2,10,102,0,Continue targeted deals
