household_key,total_sales,total_baskets,total_purchase_days,first_purchase_day,last_purchase_day,coupon_discount_abs,deal_discount_abs,coupon_sales,deal_sales,coupon_baskets,deal_baskets,first_coupon_day,last_coupon_day,coupon_redemptions,redeemed_campaigns,coupon_user_flag,coupon_dependency_ratio,deal_dependency_ratio,pre_90d_sales,post_30d_sales,post_30d_baskets,post_60d_sales,post_60d_baskets,post_90d_sales,post_90d_baskets,full_price_post_90d_sales,deal_post_90d_sales,available_post_days,post_coupon_repeat_flag,full_price_after_coupon_flag,deal_only_after_coupon_flag,post_90d_incremental_vs_pre_90d,subsidy_efficiency,segment,recency_days,frequency_baskets,monetary_sales,avg_basket_value,deal_strategy_recommendation
2214,450.87,15,14,111,711,0.0,80.55,0.0,185.38,0.0,10,,,0.0,0.0,False,0.0,0.411161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,New or Recent,0,15,450.87,30.058,No Deal Needed
2253,450.33,29,26,67,692,0.0,110.93,0.0,276.15,0.0,26,,,0.0,0.0,False,0.0,0.613217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,19,29,450.33,15.528621,Winback Test
141,448.34,52,48,47,708,0.0,61.22,0.0,214.97,0.0,42,,,0.0,0.0,False,0.0,0.47948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Potential Loyalists,3,52,448.34,8.621923,No Deal Needed
1565,447.91,31,30,61,652,15.36,113.04,9.19,247.53,1.0,28,,,0.0,0.0,False,0.020518,0.552633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,59,31,447.91,14.44871,Winback Test
360,447.6,37,34,105,710,0.0,67.69,0.0,190.4,0.0,29,,,0.0,0.0,False,0.0,0.42538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Potential Loyalists,1,37,447.6,12.097297,No Deal Needed
796,445.65,50,49,8,700,0.0,205.39,0.0,325.59,0.0,46,,,0.0,0.0,False,0.0,0.730596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,11,50,445.65,8.913,Winback Test
892,443.31,22,22,73,605,21.3,158.11,74.14,353.49,7.0,22,,,0.0,0.0,False,0.167242,0.797388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,106,22,443.31,20.150455,Winback Test
94,442.64,36,35,87,698,1.5,110.77,3.44,240.33,1.0,26,,,0.0,0.0,False,0.007772,0.542947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Hibernating,13,36,442.64,12.295556,Winback Test
254,442.14,43,42,17,708,0.0,69.65,0.0,183.63,0.0,36,,,0.0,0.0,False,0.0,0.415321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,Potential Loyalists,3,43,442.14,10.282326,No Deal Needed
2122,441.84,12,12,57,711,3.0,66.35,6.0,238.39,1.0,12,,,0.0,0.0,False,0.01358,0.539539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,New or Recent,0,12,441.84,36.82,No Deal Needed
